user_id,age,gender,education_level,country,test_run_id,battery_id,specific_subtest_id,raw_score,time_of_day,grand_index
33847763,37.0,m,6.0,US,361560,14,26,499.0,12,104.9671442352075
33848026,35.0,m,3.0,US,608080,14,29,10.0,19,100.20610896683336
33848026,35.0,m,3.0,US,608080,14,28,5.0,19,100.20610896683336
33848026,35.0,m,3.0,US,608080,14,30,10.0,19,100.20610896683336
33848026,35.0,m,3.0,US,608080,14,27,8.0,19,100.20610896683336
33848026,35.0,m,3.0,US,608080,14,26,431.0,19,100.20610896683336
33848325,19.0,m,2.0,US,564855,14,29,15.0,1,109.37922432486164
33848325,19.0,m,2.0,US,564855,14,28,5.0,1,109.37922432486164
33848325,19.0,m,2.0,US,564855,14,30,5.0,1,109.37922432486164
33848325,19.0,m,2.0,US,564855,14,27,9.0,1,109.37922432486164
33848325,19.0,m,2.0,US,564855,14,26,359.0,1,109.37922432486164
33848958,22.0,f,4.0,US,82346,14,29,16.0,18,126.78261882205472
33848958,22.0,f,4.0,US,82346,14,28,7.0,18,126.78261882205472
33848958,22.0,f,4.0,US,82346,14,30,11.0,18,126.78261882205472
33848958,22.0,f,4.0,US,82346,14,27,9.0,18,126.78261882205472
33848958,22.0,f,4.0,US,82346,14,26,347.0,18,126.78261882205472
33849097,23.0,,4.0,US,491795,14,29,13.0,23,119.35043486523752
33849097,23.0,,4.0,US,491795,14,28,6.0,23,119.35043486523752
33849097,23.0,,4.0,US,491795,14,30,7.0,23,119.35043486523752
33849097,23.0,,4.0,US,491795,14,27,9.0,23,119.35043486523752
33849097,23.0,,4.0,US,491795,14,26,291.0,23,119.35043486523752
33849417,32.0,f,6.0,US,278758,14,29,20.0,13,126.13112888541416
33849417,32.0,f,6.0,US,278758,14,28,5.0,13,126.13112888541416
33849417,32.0,f,6.0,US,278758,14,30,11.0,13,126.13112888541416
33849417,32.0,f,6.0,US,278758,14,27,10.0,13,126.13112888541416
33849417,32.0,f,6.0,US,278758,14,26,354.0,13,126.13112888541416
33850293,28.0,m,8.0,US,235996,14,29,13.0,16,101.6524486800754
33850293,28.0,m,8.0,US,235996,14,28,6.0,16,101.6524486800754
33850293,28.0,m,8.0,US,235996,14,30,3.0,16,101.6524486800754
33850293,28.0,m,8.0,US,235996,14,27,8.0,16,101.6524486800754
33850293,28.0,m,8.0,US,235996,14,26,386.0,16,101.6524486800754
33850309,32.0,m,3.0,US,245297,14,29,9.0,16,92.76623275318946
33850309,32.0,m,3.0,US,245297,14,28,6.0,16,92.76623275318946
33850309,32.0,m,3.0,US,245297,14,30,1.0,16,92.76623275318946
33850309,32.0,m,3.0,US,245297,14,27,8.0,16,92.76623275318946
33850309,32.0,m,3.0,US,245297,14,26,393.0,16,92.76623275318946
33850649,33.0,m,2.0,US,381419,14,29,19.0,19,131.00091784194734
33850649,33.0,m,2.0,US,381419,14,28,8.0,19,131.00091784194734
33850649,33.0,m,2.0,US,381419,14,30,4.0,19,131.00091784194734
